"ServiceName","DisplayName","StartName","StartMode","State","PathName","ExePathRaw","ArgsRaw","ParseMethod","Confidence","IsQuoted","IsMalformed","HasSpaces","FindingCount","FindingsSummary","FindingsJson","RiskScore","RiskLevel"
"SEMgrSvc","Payments and NFC/SE Manager","NT AUTHORITY\LocalService","Manual","Running","C:\Windows\system32\svchost.exe -k LocalService -p","C:\Windows\system32\svchost.exe","-k LocalService -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"SENS","System Event Notification Service","LocalSystem","Auto","Running","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"Sense","Windows Defender Advanced Threat Protection Service","LocalSystem","Manual","Stopped","""C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe""","C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe","","Quoted","High","True","False","True","0","","[]","0","None"
"SensorDataService","Sensor Data Service","LocalSystem","Manual","Stopped","C:\Windows\System32\SensorDataService.exe","C:\Windows\System32\SensorDataService.exe","","UnquotedExt","High","False","False","False","0","","[]","0","None"
"SensorService","Sensor Service","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"SensrSvc","Sensor Monitoring Service","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","C:\Windows\system32\svchost.exe","-k LocalServiceAndNoImpersonation -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"SessionEnv","Remote Desktop Configuration","localSystem","Manual","Stopped","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"SgrmBroker","System Guard Runtime Monitor Broker","LocalSystem","Auto","Running","C:\Windows\system32\SgrmBroker.exe","C:\Windows\system32\SgrmBroker.exe","","UnquotedExt","High","False","False","False","0","","[]","0","None"
"SharedAccess","Internet Connection Sharing (ICS)","LocalSystem","Manual","Stopped","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"SharedRealitySvc","Spatial Data Service","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalService -p","C:\Windows\system32\svchost.exe","-k LocalService -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
